categoria,nome,preco,link
BERNHARD,"Bar stool with backrest,",135,https://www.ikea.com/ie/en/p/bernhard-bar-stool-with-backrest-chrome-plated-mjuk-golden-brown-00404845/
NORDVIKEN,"Bar stool with backrest,",70,https://www.ikea.com/ie/en/p/nordviken-bar-stool-with-backrest-black-00424693/
STENSELE,"Bar table,",119,https://www.ikea.com/ie/en/p/stensele-bar-table-anthracite-anthracite-s09288224/
FREDDE,"Gaming desk,",229,https://www.ikea.com/ie/en/p/fredde-gaming-desk-white-10451068/
MÅLVAKT / NÄRSPEL,"Desk,",90,https://www.ikea.com/ie/en/p/malvakt-naerspel-desk-black-dark-grey-s39439962/
UPPSPEL,"Gaming desk,",599,https://www.ikea.com/ie/en/p/uppspel-gaming-desk-black-s69430192/
UPPSPEL,"Pegboard,",27,https://www.ikea.com/ie/en/p/uppspel-pegboard-black-80507788/
FREDDE,"Gaming desk,",229,https://www.ikea.com/ie/en/p/fredde-gaming-desk-white-10451068/
MÅLVAKT / NÄRSPEL,"Desk,",90,https://www.ikea.com/ie/en/p/malvakt-naerspel-desk-black-dark-grey-s39439962/
UPPSPEL,"Gaming desk,",599,https://www.ikea.com/ie/en/p/uppspel-gaming-desk-black-s69430192/
UPPSPEL,"Pegboard,",27,https://www.ikea.com/ie/en/p/uppspel-pegboard-black-80507788/
LÅNESPELARE,Accessories stand,25,https://www.ikea.com/ie/en/p/lanespelare-accessories-stand-60511362/
LÅNESPELARE,Mug and mug holder,20,https://www.ikea.com/ie/en/p/lanespelare-mug-and-mug-holder-s79429310/
MÅLVAKT / ALEX,"Desk,",114,https://www.ikea.com/ie/en/p/malvakt-alex-desk-black-white-s69440011/
MATCHSPEL,Gaming chair,179,https://www.ikea.com/ie/en/p/matchspel-gaming-chair-bomstad-black-20507606/
GRUPPSPEL,Gaming chair,229,https://www.ikea.com/ie/en/p/gruppspel-gaming-chair-gunnared-beige-20507588/
UTESPELARE / HELMER,"Desk, chair and drawer unit",319,https://www.ikea.com/ie/en/p/utespelare-helmer-desk-chair-and-drawer-unit-black-s69440775/
VÄDRA,"Babycare mat,",17,https://www.ikea.com/ie/en/p/vaedra-babycare-mat-80226137/
HUVUDSPELARE,Gaming chair,65,https://www.ikea.com/ie/en/p/huvudspelare-gaming-chair-black-30507601/
LÅNESPELARE,Mug with lid and straw,10,https://www.ikea.com/ie/en/p/lanespelare-mug-with-lid-and-straw-black-40507846/
IDÅSEN / GRUPPSPEL,"Desk, chair and drawer unit,","1,059",https://www.ikea.com/ie/en/p/idasen-gruppspel-desk-chair-and-drawer-unit-brown-beige-s79441699/
UTESPELARE,"Gaming desk,",150,https://www.ikea.com/ie/en/p/utespelare-gaming-desk-black-80507627/
BEKANT / MATCHSPEL,Desk and chair,364,https://www.ikea.com/ie/en/p/bekant-matchspel-desk-and-chair-black-s99440793/
UPPSPEL / GRUPPSPEL,"Gaming desk and chair,",779,https://www.ikea.com/ie/en/p/uppspel-gruppspel-gaming-desk-and-chair-black-grey-s09441037/
UPPSPEL,Cpu stand with castors,19,https://www.ikea.com/ie/en/p/uppspel-cpu-stand-with-castors-dark-grey-40507785/
UPPSPEL,"Glass-door cabinet,",90,https://www.ikea.com/ie/en/p/uppspel-glass-door-cabinet-dark-grey-90507636/
LÅNESPELARE,Ring light with phone holder,40,https://www.ikea.com/ie/en/p/lanespelare-ring-light-with-phone-holder-10514358/
LÅNESPELARE,"Gaming mouse pad,",15,https://www.ikea.com/ie/en/p/lanespelare-gaming-mouse-pad-patterned-70507816/
UTESPELARE,Gaming chair,129,https://www.ikea.com/ie/en/p/utespelare-gaming-chair-bomstad-black-90507617/
LÅNESPELARE,"Gaming mouse pad,",6,https://www.ikea.com/ie/en/p/lanespelare-gaming-mouse-pad-black-60507794/
LÅNESPELARE,Mug holder,10,https://www.ikea.com/ie/en/p/lanespelare-mug-holder-black-90507844/
UPPSPEL,"Drawer unit on castors,",99,https://www.ikea.com/ie/en/p/uppspel-drawer-unit-on-castors-black-80507632/
ANTILOP,Highchair with tray,19,https://www.ikea.com/ie/en/p/antilop-highchair-with-tray-white-silver-colour-s29067293/
GODISHUS,"Chest of 3 drawers,",55,https://www.ikea.com/ie/en/p/godishus-chest-of-3-drawers-white-80433486/
SNIGLAR,"Cot,",69,https://www.ikea.com/ie/en/p/sniglar-cot-beech-30248537/
SNIGLAR,"Changing table,",39,https://www.ikea.com/ie/en/p/sniglar-changing-table-beech-white-20045205/
SMÅGÖRA,"Shelf unit,",30,https://www.ikea.com/ie/en/p/smagoera-shelf-unit-white-30465489/
GODISHUS,"Wardrobe,",95,https://www.ikea.com/ie/en/p/godishus-wardrobe-white-50422494/
TROFAST,"Wall storage,",45,https://www.ikea.com/ie/en/p/trofast-wall-storage-white-white-s79898306/
GULLIVER,Changing table,79,https://www.ikea.com/ie/en/p/gulliver-changing-table-white-20307037/
SNIGLAR,"Cot,",69,https://www.ikea.com/ie/en/p/sniglar-cot-beech-30248537/
GULLIVER,"Cot,",115,https://www.ikea.com/ie/en/p/gulliver-cot-white-10248519/
SMÅSTAD / PLATSA,"Wardrobe,",202,https://www.ikea.com/ie/en/p/smastad-platsa-wardrobe-white-white-with-3-drawers-s69426208/
GULLIVER,Changing table,79,https://www.ikea.com/ie/en/p/gulliver-changing-table-white-20307037/
SNIGLAR,"Cot,",69,https://www.ikea.com/ie/en/p/sniglar-cot-beech-30248537/
GULLIVER,"Cot,",115,https://www.ikea.com/ie/en/p/gulliver-cot-white-10248519/
SMÅSTAD / PLATSA,"Wardrobe,",202,https://www.ikea.com/ie/en/p/smastad-platsa-wardrobe-white-white-with-3-drawers-s69426208/
SMÅSTAD / PLATSA,"Wardrobe,",144,https://www.ikea.com/ie/en/p/smastad-platsa-wardrobe-white-white-with-3-shelves-s49483313/
SMÅSTAD / PLATSA,"Chest of 3 drawers,",111,https://www.ikea.com/ie/en/p/smastad-platsa-chest-of-3-drawers-white-white-s29420133/
GONATT,"Cot with drawer,",250,https://www.ikea.com/ie/en/p/gonatt-cot-with-drawer-white-90467089/
GODISHUS,"Chest of 3 drawers,",55,https://www.ikea.com/ie/en/p/godishus-chest-of-3-drawers-white-80433486/
SNIGLAR,"Changing table,",39,https://www.ikea.com/ie/en/p/sniglar-changing-table-beech-white-20045205/
LANGUR,Padded seat cover for highchair,9,https://www.ikea.com/ie/en/p/langur-padded-seat-cover-for-highchair-yellow-00352648/
BUSUNGE,"Wardrobe,",129,https://www.ikea.com/ie/en/p/busunge-wardrobe-white-20305707/
SUNDVIK,"Wardrobe,",215,https://www.ikea.com/ie/en/p/sundvik-wardrobe-white-10269696/
VÄDRA,"Babycare mat,",17,https://www.ikea.com/ie/en/p/vaedra-babycare-mat-80226137/
SMÅGÖRA,"Cot,",150,https://www.ikea.com/ie/en/p/smagoera-cot-white-20461236/
SMÅSTAD,"Changing table,",188,https://www.ikea.com/ie/en/p/smastad-changing-table-white-grey-with-3-drawers-s89392207/
ANTILOP,Highchair with tray,19,https://www.ikea.com/ie/en/p/antilop-highchair-with-tray-white-silver-colour-s29067293/
SUNDVIK,Changing table/chest of drawers,199,https://www.ikea.com/ie/en/p/sundvik-changing-table-chest-of-drawers-white-00497340/
BERGIG,Book display with storage,115,https://www.ikea.com/ie/en/p/bergig-book-display-with-storage-white-00472702/
TROFAST,"Storage combination with boxes,",67,https://www.ikea.com/ie/en/p/trofast-storage-combination-with-boxes-white-white-pink-s29335903/
TROFAST,"Frame,",50,https://www.ikea.com/ie/en/p/trofast-frame-white-80153800/
MYLLRA,Changing table with drawers,250,https://www.ikea.com/ie/en/p/myllra-changing-table-with-drawers-white-70483580/
TROFAST,"Storage combination with boxes,",40,https://www.ikea.com/ie/en/p/trofast-storage-combination-with-boxes-white-grey-s79330470/
GODISHUS,"Wardrobe,",95,https://www.ikea.com/ie/en/p/godishus-wardrobe-white-50422494/
SMÅSTAD / PLATSA,"Changing table,",335,https://www.ikea.com/ie/en/p/smastad-platsa-changing-table-white-grey-with-bookcase-s09483918/
NORRÅKER,"Bench,",60,https://www.ikea.com/ie/en/p/norraker-bench-birch-60428990/
STENSELE,"Table,",109,https://www.ikea.com/ie/en/p/stensele-table-light-grey-light-grey-s49288236/
YNGVAR,"Bar stool,",125,https://www.ikea.com/ie/en/p/yngvar-bar-stool-anthracite-60400745/
JANINGE,"Bar stool,",115,https://www.ikea.com/ie/en/p/janinge-bar-stool-white-70246089/
NORRÅKER,"Bench,",60,https://www.ikea.com/ie/en/p/norraker-bench-birch-60428990/
STENSELE,"Table,",109,https://www.ikea.com/ie/en/p/stensele-table-light-grey-light-grey-s49288236/
YNGVAR,"Bar stool,",125,https://www.ikea.com/ie/en/p/yngvar-bar-stool-anthracite-60400745/
JANINGE,"Bar stool,",115,https://www.ikea.com/ie/en/p/janinge-bar-stool-white-70246089/
NORRÅKER,"Stool,",35,https://www.ikea.com/ie/en/p/norraker-stool-birch-00428974/
JANINGE,Chair,45,https://www.ikea.com/ie/en/p/janinge-chair-white-00246078/
NORRÅKER,"Table,",179,https://www.ikea.com/ie/en/p/norraker-table-birch-30428982/
STENSELE,"Bar table,",119,https://www.ikea.com/ie/en/p/stensele-bar-table-anthracite-anthracite-s09288224/
STENSELE / RÖNNINGE,"Table and 2 chairs,",279,https://www.ikea.com/ie/en/p/stensele-roenninge-table-and-2-chairs-light-grey-light-grey-birch-s09297129/
RÖNNINGE,Chair,85,https://www.ikea.com/ie/en/p/roenninge-chair-birch-10422504/
TOMMARYD,"Table,",149,https://www.ikea.com/ie/en/p/tommaryd-table-white-stained-oak-veneer-anthracite-s39387524/
STENSELE,"Table,",109,https://www.ikea.com/ie/en/p/stensele-table-light-grey-light-grey-s69323922/
